datetime_utc, _tempm
6/9/2021 18:11,22.66
6/9/2021 19:10,22.68
6/9/2021 20:10,22.54
6/9/2021 21:10,22.46
6/9/2021 22:10,22.57
6/9/2021 23:10,22.64
6/10/2021 0:10,22.57
6/10/2021 1:10,22.53
6/10/2021 2:11,22.59
6/10/2021 3:10,22.57
6/10/2021 4:10,23.28
6/10/2021 5:10,23.38
6/10/2021 6:10,23.39
6/10/2021 7:10,23.04
6/10/2021 8:10,23.05
6/10/2021 9:10,22.73
6/10/2021 10:12,23.14
6/10/2021 11:10,23.22
6/10/2021 12:10,23.02
6/10/2021 13:10,23.28
6/10/2021 14:10,22.87
6/10/2021 15:10,23.11
6/10/2021 16:11,23.02
6/10/2021 17:10,22.96
6/10/2021 18:10,22.96
6/10/2021 19:11,23.08
6/10/2021 20:10,23.01
6/10/2021 21:10,23.07
6/10/2021 22:10,23.02
6/10/2021 23:10,22.91
6/11/2021 0:10,23.1
6/11/2021 1:10,23.28
6/11/2021 2:11,22.56
6/11/2021 3:10,22.63
6/11/2021 4:11,22.68
6/11/2021 5:10,22.82
6/11/2021 6:10,23.09
6/11/2021 7:10,22.82
6/11/2021 8:10,23
6/11/2021 9:10,23.03
6/11/2021 10:10,22.63
6/11/2021 11:10,22.81
6/11/2021 12:10,23.07
6/11/2021 13:10,22.44
6/11/2021 14:10,23.03
6/11/2021 15:11,22.68
6/11/2021 16:10,22.83
6/11/2021 17:10,22.67
6/11/2021 18:10,23.03
6/11/2021 19:10,22.55
6/11/2021 20:10,23.04
6/11/2021 21:10,22.98
6/11/2021 22:10,22.78
6/11/2021 23:10,22.65
6/12/2021 0:10,22.71
6/12/2021 1:10,22.97
6/12/2021 2:10,23.1
6/12/2021 3:10,22.8
6/12/2021 4:10,23.75
6/12/2021 5:10,22.69
6/12/2021 6:10,22.9
6/12/2021 7:11,23.02
6/12/2021 8:10,22.89
6/12/2021 9:10,22.97
6/12/2021 10:10,23
6/12/2021 11:10,22.69
6/12/2021 12:10,22.68
6/12/2021 13:10,23.41
6/12/2021 14:10,22.6
6/12/2021 15:10,22.95
6/12/2021 16:10,22.6
6/12/2021 17:10,22.95
6/12/2021 18:10,23.17
6/12/2021 19:10,22.99
6/12/2021 20:10,22.99
6/12/2021 21:10,22.71
6/12/2021 22:10,22.61
6/12/2021 23:10,22.57
6/13/2021 0:10,22.85
6/13/2021 1:10,22.72
6/13/2021 2:11,22.7
6/13/2021 3:10,23.04
6/13/2021 4:10,23.05
6/13/2021 5:10,23.66
6/13/2021 6:10,22.86
6/13/2021 7:10,22.78
6/13/2021 8:10,22.92
6/13/2021 9:10,23.04
6/13/2021 10:10,22.99
6/13/2021 11:10,22.55
6/13/2021 12:10,23.46
6/13/2021 13:10,23.34
6/13/2021 14:11,22.78
6/13/2021 15:12,23.06
6/13/2021 16:10,23.27
6/13/2021 17:10,23.35
6/13/2021 18:10,23.24
6/13/2021 19:10,23.52
6/13/2021 20:10,23.22
6/13/2021 21:10,23.16
6/13/2021 22:10,23.19
6/13/2021 23:10,23.01
6/14/2021 0:10,23.21
6/14/2021 1:10,23.05
6/14/2021 2:10,23.31
6/14/2021 3:10,23.06
6/14/2021 4:10,23.1
6/14/2021 5:10,22.95
6/14/2021 6:10,23.09
6/14/2021 7:10,23.12
6/14/2021 8:10,22.91
6/14/2021 9:10,23.02
6/14/2021 10:10,22.95
6/14/2021 11:10,23.16
6/14/2021 12:10,23.05
6/14/2021 13:10,22.97
6/14/2021 14:10,23.37
6/14/2021 15:14,22.86
6/14/2021 16:10,22.86
6/14/2021 17:10,23.03
6/14/2021 18:10,23.27
6/14/2021 19:10,23.33
6/14/2021 20:10,22.53
6/14/2021 21:10,22.64
6/14/2021 22:10,22.62
6/14/2021 23:11,22.66
6/15/2021 0:10,22.8
6/15/2021 1:10,23.55
6/15/2021 2:10,22.84
6/15/2021 3:10,23.03
6/15/2021 4:10,23.82
6/15/2021 5:10,24.01
6/15/2021 6:10,23.04
6/15/2021 7:10,22.62
6/15/2021 8:10,22.68
6/15/2021 9:10,22.66
6/15/2021 10:10,22.82
6/15/2021 11:10,22.75
6/15/2021 12:10,22.9
6/15/2021 13:11,22.94
6/15/2021 14:10,23.02
6/15/2021 15:10,23.01
6/15/2021 16:10,23.08
6/15/2021 17:10,23.04
6/15/2021 18:10,22.99
6/15/2021 19:10,23.31
6/15/2021 20:10,22.96
6/15/2021 21:10,23.11
6/15/2021 22:10,23.18
6/15/2021 23:10,23.11
6/16/2021 0:10,23.06
6/16/2021 1:11,23.42
6/16/2021 2:10,23.37
6/16/2021 3:10,22.81
6/16/2021 4:10,23.34
6/16/2021 5:10,23.15
6/16/2021 6:10,23.35
6/16/2021 7:10,23.67
6/16/2021 8:10,23.03
6/16/2021 9:10,22.85
6/16/2021 10:10,23.03
6/16/2021 11:11,23.53
6/16/2021 12:10,23.51
6/16/2021 13:10,23
6/16/2021 14:10,23.02
6/16/2021 15:10,23.16
6/16/2021 16:10,23.44
6/16/2021 17:10,22.9
6/16/2021 18:10,23.32
6/16/2021 19:10,23.27
6/16/2021 20:10,23.04
6/16/2021 21:10,23.17
6/16/2021 22:10,23.17
6/16/2021 23:11,22.76
6/17/2021 0:10,23.07
6/17/2021 1:10,23.11
6/17/2021 2:10,23.25
6/17/2021 3:10,23.3
6/17/2021 4:10,23.19
6/17/2021 5:10,23.09
6/17/2021 6:10,23.2
6/17/2021 7:10,23.24
6/17/2021 8:10,23.04
6/17/2021 9:11,23.09
6/17/2021 10:10,23.02
6/17/2021 11:10,23.09
6/17/2021 12:10,22.82
6/17/2021 13:10,22.96
6/17/2021 14:11,22.6
6/17/2021 15:10,23.18
6/17/2021 16:10,22.72
6/17/2021 17:10,22.83
6/17/2021 18:10,23
6/17/2021 19:10,22.94
6/17/2021 20:10,22.8
6/17/2021 21:10,23.36
6/17/2021 22:11,22.88
6/17/2021 23:10,22.75
6/18/2021 0:10,22.67
6/18/2021 1:10,23.48
6/18/2021 2:10,22.97
6/18/2021 3:10,23.01
6/18/2021 4:10,23.06
6/18/2021 5:10,23.06
6/18/2021 6:10,23.19
6/18/2021 7:10,22.98
6/18/2021 8:10,23.52
6/18/2021 9:10,23.46
6/18/2021 10:10,23.64
6/18/2021 11:10,22.99
6/18/2021 12:10,23.04
6/18/2021 13:10,23.09
6/18/2021 14:10,22.78
6/18/2021 15:10,22.89
6/18/2021 16:10,23.04
6/18/2021 17:10,23.18
6/18/2021 18:10,23.08
6/18/2021 19:10,22.65
6/18/2021 20:10,22.71
6/18/2021 21:10,23.46
6/18/2021 22:10,22.59
6/18/2021 23:10,22.75
6/19/2021 0:10,22.67
6/19/2021 1:10,23.48
6/19/2021 2:10,22.97
6/19/2021 3:10,23.01
6/19/2021 4:10,23.06
6/19/2021 5:10,23.06
6/19/2021 6:10,23.19
6/19/2021 7:10,22.98
6/19/2021 8:10,23.52
6/19/2021 9:10,23.46
6/19/2021 10:10,23.64
6/19/2021 11:10,22.99
